"Kod";"Nazwa";"ścieżki rowerowe (drogi dla rowerów) ogółem;2020;[km]";
1420000;"Powiat płoński";25,3;
1421000;"Powiat pruszkowski";131,2;
1422000;"Powiat przasnyski";68,5;
1423000;"Powiat przysuski";4,4;
1424000;"Powiat pułtuski";6,8;
1425000;"Powiat radomski";32,5;
1426000;"Powiat siedlecki";26,6;
1427000;"Powiat sierpecki";7,5;
1428000;"Powiat sochaczewski";37,0;
1429000;"Powiat sokołowski";43,2;
1430000;"Powiat szydłowiecki";15,4;
1432000;"Powiat warszawski zachodni";83,1;
1433000;"Powiat węgrowski";24,1;
1434000;"Powiat wołomiński";114,0;
1435000;"Powiat wyszkowski";71,7;
1436000;"Powiat zwoleński";3,3;
1437000;"Powiat żuromiński";26,5;
1438000;"Powiat żyrardowski";44,7;
1461000;"Powiat m.Ostrołęka";29,3;
1462000;"Powiat m.Płock";64,0;
1463000;"Powiat m.Radom";101,2;
1464000;"Powiat m.Siedlce";42,4;
1465000;"Powiat m. st. Warszawa";676,1;
1601000;"Powiat brzeski";22,0;
1602000;"Powiat głubczycki";7,6;
1603000;"Powiat kędzierzyńsko-kozielski";58,3;
1604000;"Powiat kluczborski";24,6;
1605000;"Powiat krapkowicki";29,6;
1606000;"Powiat namysłowski";34,0;
1607000;"Powiat nyski";72,1;
1608000;"Powiat oleski";57,1;
1609000;"Powiat opolski";70,4;
1610000;"Powiat prudnicki";38,0;
1611000;"Powiat strzelecki";39,2;
1661000;"Powiat m.Opole";103,9;
1802000;"Powiat brzozowski";8,0;
1803000;"Powiat dębicki";29,8;
1804000;"Powiat jarosławski";14,1;
1805000;"Powiat jasielski";1,8;
1806000;"Powiat kolbuszowski";11,4;
1807000;"Powiat krośnieński";0,4;
1808000;"Powiat leżajski";20,4;
1809000;"Powiat lubaczowski";31,9;
1810000;"Powiat łańcucki";5,8;
1811000;"Powiat mielecki";76,1;
1812000;"Powiat niżański";58,6;
1813000;"Powiat przemyski";4,7;
1814000;"Powiat przeworski";3,1;
1815000;"Powiat ropczycko-sędziszowski";7,9;
1816000;"Powiat rzeszowski";39,6;
1817000;"Powiat sanocki";5,2;
1818000;"Powiat stalowowolski";95,3;
1819000;"Powiat strzyżowski";3,0;
1820000;"Powiat tarnobrzeski";6,5;
1821000;"Powiat leski";0,2;
1861000;"Powiat m.Krosno";22,5;
1862000;"Powiat m.Przemyśl";35,1;
1863000;"Powiat m.Rzeszów";166,0;
1864000;"Powiat m.Tarnobrzeg";28,1;
2001000;"Powiat augustowski";57,1;
2002000;"Powiat białostocki";136,2;
2003000;"Powiat bielski";32,6;
2004000;"Powiat grajewski";8,3;
2005000;"Powiat hajnowski";36,8;
2006000;"Powiat kolneński";5,8;
2007000;"Powiat łomżyński";21,2;
