"Kod";"Nazwa";"stadiony;ogółem;2018;[ob.]";"hale sportowe o wymiarach od 36x19 m;ogółem;2018;[ob.]";"sale gimnastyczne o wymiarach poniżej 36x19 m i sale pomocnicze;ogółem;2018;[ob.]";"korty tenisowe;ogółem;2018;[ob.]";"pływalnie kryte;ogółem;2018;[ob.]";
1063000;"Powiat m.Skierniewice";4;2;2;7;1;
1201000;"Powiat bocheński";10;3;3;3;3;
1202000;"Powiat brzeski";11;1;0;7;1;
1203000;"Powiat chrzanowski";9;6;1;11;3;
1204000;"Powiat dąbrowski";13;4;0;3;1;
1205000;"Powiat gorlicki";14;2;1;8;5;
1206000;"Powiat krakowski";21;4;3;6;3;
1207000;"Powiat limanowski";16;1;1;4;2;
1208000;"Powiat miechowski";4;1;1;1;1;
1209000;"Powiat myślenicki";8;2;3;7;1;
1210000;"Powiat nowosądecki";18;3;9;11;2;
1211000;"Powiat nowotarski";12;3;12;8;6;
1212000;"Powiat olkuski";5;2;4;5;3;
1213000;"Powiat oświęcimski";20;2;1;16;3;
1214000;"Powiat proszowicki";4;3;3;2;1;
1215000;"Powiat suski";8;1;2;2;2;
1216000;"Powiat tarnowski";26;4;6;6;1;
1217000;"Powiat tatrzański";3;3;1;3;2;
1218000;"Powiat wadowicki";14;3;15;6;4;
1219000;"Powiat wielicki";18;2;0;3;2;
1261000;"Powiat m.Kraków";18;26;37;75;16;
1262000;"Powiat m.Nowy Sącz";6;5;4;14;2;
1263000;"Powiat m.Tarnów";4;4;1;7;2;
1401000;"Powiat białobrzeski";2;1;0;0;0;
1402000;"Powiat ciechanowski";5;2;12;5;1;
1403000;"Powiat garwoliński";7;5;0;3;1;
1404000;"Powiat gostyniński";4;1;0;2;1;
1405000;"Powiat grodziski";3;1;1;7;1;
1406000;"Powiat grójecki";6;4;0;4;3;
1407000;"Powiat kozienicki";3;1;0;4;1;
1408000;"Powiat legionowski";2;2;7;2;5;
1409000;"Powiat lipski";2;0;0;1;0;
1410000;"Powiat łosicki";1;0;0;0;0;
1411000;"Powiat makowski";8;2;5;0;0;
1412000;"Powiat miński";5;4;5;7;0;
1413000;"Powiat mławski";2;5;2;4;1;
1414000;"Powiat nowodworski";3;5;2;1;1;
1415000;"Powiat ostrołęcki";2;0;15;6;0;
1416000;"Powiat ostrowski";4;4;4;3;1;
1417000;"Powiat otwocki";3;4;2;1;1;
1418000;"Powiat piaseczyński";6;4;7;1;3;
1419000;"Powiat płocki";8;4;0;0;0;
1420000;"Powiat płoński";2;3;1;0;1;
1421000;"Powiat pruszkowski";4;4;0;6;1;
1422000;"Powiat przasnyski";4;0;1;2;1;
1423000;"Powiat przysuski";4;1;1;0;1;
1424000;"Powiat pułtuski";2;2;1;2;1;
1425000;"Powiat radomski";7;2;3;1;0;
1426000;"Powiat siedlecki";1;1;4;1;0;
1427000;"Powiat sierpecki";5;0;0;0;0;
1428000;"Powiat sochaczewski";5;4;3;2;1;
1429000;"Powiat sokołowski";4;0;0;1;1;
1430000;"Powiat szydłowiecki";2;0;3;2;0;
1432000;"Powiat warszawski zachodni";9;5;4;5;2;
1433000;"Powiat węgrowski";5;0;0;0;0;
1434000;"Powiat wołomiński";6;5;5;7;2;
1435000;"Powiat wyszkowski";3;3;4;1;0;
1436000;"Powiat zwoleński";2;0;0;0;0;
1437000;"Powiat żuromiński";4;2;7;0;0;
1438000;"Powiat żyrardowski";5;7;8;6;1;
1461000;"Powiat m.Ostrołęka";1;2;0;7;0;
1462000;"Powiat m.Płock";2;3;3;4;3;
1463000;"Powiat m.Radom";2;2;2;2;2;
1464000;"Powiat m.Siedlce";2;2;1;3;0;
1465000;"Powiat m. st. Warszawa";18;41;60;94;47;
1601000;"Powiat brzeski";4;4;5;3;0;
1602000;"Powiat głubczycki";9;1;0;3;1;
1603000;"Powiat kędzierzyńsko-kozielski";9;1;3;4;2;
1604000;"Powiat kluczborski";6;4;0;4;1;
1605000;"Powiat krapkowicki";8;3;3;8;3;
1606000;"Powiat namysłowski";5;1;0;3;1;
1607000;"Powiat nyski";22;8;2;9;2;
1608000;"Powiat oleski";4;2;1;3;3;
1609000;"Powiat opolski";11;6;2;22;1;
1610000;"Powiat prudnicki";3;3;1;5;2;
1611000;"Powiat strzelecki";6;2;1;2;2;
1661000;"Powiat m.Opole";5;4;5;1;2;
1801000;"Powiat bieszczadzki";2;1;0;6;2;
1802000;"Powiat brzozowski";18;0;0;2;1;
1803000;"Powiat dębicki";19;3;4;5;4;
1804000;"Powiat jarosławski";18;5;21;1;1;
1805000;"Powiat jasielski";10;1;3;9;1;
1806000;"Powiat kolbuszowski";15;1;0;1;2;
1807000;"Powiat krośnieński";27;4;6;5;0;
1808000;"Powiat leżajski";16;0;1;0;2;
