"Kod";"Nazwa";"ludność na 1 km2;2020;[osoba]";
1437000;"Powiat żuromiński";47;
1438000;"Powiat żyrardowski";142;
1461000;"Powiat m.Ostrołęka";1544;
1462000;"Powiat m.Płock";1343;
1463000;"Powiat m.Radom";1872;
1464000;"Powiat m.Siedlce";2442;
1465000;"Powiat m. st. Warszawa";3469;
1601000;"Powiat brzeski";102;
1602000;"Powiat głubczycki";67;
1603000;"Powiat kędzierzyńsko-kozielski";149;
1604000;"Powiat kluczborski";76;
1605000;"Powiat krapkowicki";143;
1606000;"Powiat namysłowski";57;
1607000;"Powiat nyski";110;
1608000;"Powiat oleski";66;
1609000;"Powiat opolski";81;
1610000;"Powiat prudnicki";96;
1611000;"Powiat strzelecki";99;
1661000;"Powiat m.Opole";859;
1801000;"Powiat bieszczadzki";19;
1802000;"Powiat brzozowski";121;
1803000;"Powiat dębicki";174;
1804000;"Powiat jarosławski";116;
1805000;"Powiat jasielski";136;
1806000;"Powiat kolbuszowski";80;
1807000;"Powiat krośnieński";113;
1808000;"Powiat leżajski";118;
1809000;"Powiat lubaczowski";42;
1810000;"Powiat łańcucki";180;
1811000;"Powiat mielecki";155;
1812000;"Powiat niżański";84;
1813000;"Powiat przemyski";61;
1814000;"Powiat przeworski";112;
1815000;"Powiat ropczycko-sędziszowski";136;
1816000;"Powiat rzeszowski";149;
1817000;"Powiat sanocki";81;
1818000;"Powiat stalowowolski";127;
1819000;"Powiat strzyżowski";121;
1820000;"Powiat tarnobrzeski";101;
1821000;"Powiat leski";32;
1861000;"Powiat m.Krosno";1056;
1862000;"Powiat m.Przemyśl";1295;
1863000;"Powiat m.Rzeszów";1553;
1864000;"Powiat m.Tarnobrzeg";543;
2001000;"Powiat augustowski";35;
2002000;"Powiat białostocki";51;
2003000;"Powiat bielski";39;
2004000;"Powiat grajewski";48;
2005000;"Powiat hajnowski";26;
2006000;"Powiat kolneński";40;
2007000;"Powiat łomżyński";38;
2008000;"Powiat moniecki";29;
2009000;"Powiat sejneński";23;
2010000;"Powiat siemiatycki";30;
2011000;"Powiat sokólski";32;
2012000;"Powiat suwalski";27;
2013000;"Powiat wysokomazowiecki";44;
2014000;"Powiat zambrowski";59;
2061000;"Powiat m.Białystok";2908;
2062000;"Powiat m.Łomża";1915;
2063000;"Powiat m.Suwałki";1063;
2201000;"Powiat bytowski";36;
2202000;"Powiat chojnicki";72;
2203000;"Powiat człuchowski";35;
2204000;"Powiat gdański";152;
2205000;"Powiat kartuski";127;
2206000;"Powiat kościerski";63;
2207000;"Powiat kwidzyński";99;
2208000;"Powiat lęborski";93;
2209000;"Powiat malborski";128;
2210000;"Powiat nowodworski";53;
2211000;"Powiat pucki";151;
2212000;"Powiat słupski";43;
2213000;"Powiat starogardzki";95;
2214000;"Powiat tczewski";165;
2215000;"Powiat wejherowski";171;
2216000;"Powiat sztumski";56;
2261000;"Powiat m.Gdańsk";1797;
2262000;"Powiat m.Gdynia";1813;
2263000;"Powiat m.Słupsk";2081;
2264000;"Powiat m.Sopot";2042;
2401000;"Powiat będziński";404;
2402000;"Powiat bielski";363;
2403000;"Powiat cieszyński";243;
2404000;"Powiat częstochowski";88;
2405000;"Powiat gliwicki";174;
2406000;"Powiat kłobucki";95;
2407000;"Powiat lubliniecki";93;
2408000;"Powiat mikołowski";426;
2409000;"Powiat myszkowski";147;
2410000;"Powiat pszczyński";237;
2411000;"Powiat raciborski";198;
2412000;"Powiat rybnicki";350;
2413000;"Powiat tarnogórski";219;
2414000;"Powiat bieruńsko-lędziński";378;
2415000;"Powiat wodzisławski";546;
2416000;"Powiat zawierciański";116;
2417000;"Powiat żywiecki";146;
2461000;"Powiat m.Bielsko-Biała";1363;
2462000;"Powiat m.Bytom";2351;
2463000;"Powiat m.Chorzów";3214;
2464000;"Powiat m.Częstochowa";1362;
2465000;"Powiat m.Dąbrowa Górnicza";627;
2466000;"Powiat m.Gliwice";1322;
2467000;"Powiat m.Jastrzębie-Zdrój";1032;
2468000;"Powiat m.Jaworzno";592;
2469000;"Powiat m.Katowice";1765;
2470000;"Powiat m.Mysłowice";1136;
2471000;"Powiat m.Piekary Śląskie";1368;
2472000;"Powiat m.Ruda Śląska";1755;
2473000;"Powiat m.Rybnik";924;
2474000;"Powiat m.Siemianowice Śląskie";2599;
2475000;"Powiat m.Sosnowiec";2170;
2476000;"Powiat m.Świętochłowice";3690;
2477000;"Powiat m.Tychy";1551;
