"Kod";"Nazwa";"ogółem;2020;[zł]";
1412000;"Powiat miński";4717,21;
1413000;"Powiat mławski";4636,34;
1414000;"Powiat nowodworski";6096,33;
1415000;"Powiat ostrołęcki";4564,72;
1416000;"Powiat ostrowski";4650,41;
1417000;"Powiat otwocki";5281,35;
1418000;"Powiat piaseczyński";5164,71;
1419000;"Powiat płocki";4631,84;
1420000;"Powiat płoński";4826,77;
1421000;"Powiat pruszkowski";6295,40;
1422000;"Powiat przasnyski";4638,79;
1423000;"Powiat przysuski";4653,63;
1424000;"Powiat pułtuski";4644,71;
1425000;"Powiat radomski";4362,35;
1426000;"Powiat siedlecki";4503,92;
1427000;"Powiat sierpecki";4613,59;
1428000;"Powiat sochaczewski";5741,89;
1429000;"Powiat sokołowski";4792,94;
1430000;"Powiat szydłowiecki";4157,78;
1432000;"Powiat warszawski zachodni";5990,54;
1433000;"Powiat węgrowski";4589,75;
1434000;"Powiat wołomiński";4997,04;
1435000;"Powiat wyszkowski";4404,79;
1436000;"Powiat zwoleński";4508,69;
1437000;"Powiat żuromiński";4384,30;
1438000;"Powiat żyrardowski";5113,05;
1461000;"Powiat m.Ostrołęka";5712,81;
1462000;"Powiat m.Płock";6526,04;
1463000;"Powiat m.Radom";5033,24;
1464000;"Powiat m.Siedlce";5187,54;
1465000;"Powiat m. st. Warszawa";7147,46;
1601000;"Powiat brzeski";4825,14;
1602000;"Powiat głubczycki";4703,75;
1603000;"Powiat kędzierzyńsko-kozielski";5572,19;
1604000;"Powiat kluczborski";4777,86;
1605000;"Powiat krapkowicki";5548,87;
1606000;"Powiat namysłowski";4807,10;
1607000;"Powiat nyski";4637,57;
1608000;"Powiat oleski";4479,24;
1609000;"Powiat opolski";4720,08;
1610000;"Powiat prudnicki";4446,16;
1611000;"Powiat strzelecki";4854,78;
1661000;"Powiat m.Opole";5523,14;
1801000;"Powiat bieszczadzki";4445,97;
1802000;"Powiat brzozowski";4206,54;
1803000;"Powiat dębicki";4631,33;
1804000;"Powiat jarosławski";4541,33;
1805000;"Powiat jasielski";4560,20;
1806000;"Powiat kolbuszowski";4220,93;
1807000;"Powiat krośnieński";4050,39;
1808000;"Powiat leżajski";4435,95;
1809000;"Powiat lubaczowski";4214,71;
1810000;"Powiat łańcucki";4327,10;
1811000;"Powiat mielecki";4729,31;
1812000;"Powiat niżański";4197,13;
1813000;"Powiat przemyski";4126,82;
1814000;"Powiat przeworski";4255,41;
1815000;"Powiat ropczycko-sędziszowski";4401,73;
1816000;"Powiat rzeszowski";4614,22;
1817000;"Powiat sanocki";4431,17;
1818000;"Powiat stalowowolski";4777,46;
1819000;"Powiat strzyżowski";4052,65;
1820000;"Powiat tarnobrzeski";4723,98;
1821000;"Powiat leski";4832,85;
1861000;"Powiat m.Krosno";4424,93;
1862000;"Powiat m.Przemyśl";4522,95;
1863000;"Powiat m.Rzeszów";5518,24;
1864000;"Powiat m.Tarnobrzeg";4578,25;
2001000;"Powiat augustowski";5009,19;
2002000;"Powiat białostocki";4456,25;
2003000;"Powiat bielski";5547,83;
2004000;"Powiat grajewski";4970,21;
2005000;"Powiat hajnowski";5165,59;
2006000;"Powiat kolneński";4475,28;
2007000;"Powiat łomżyński";5174,98;
2008000;"Powiat moniecki";4601,73;
2009000;"Powiat sejneński";4486,11;
2010000;"Powiat siemiatycki";4473,99;
2011000;"Powiat sokólski";4528,86;
2012000;"Powiat suwalski";4201,41;
2013000;"Powiat wysokomazowiecki";5071,35;
2014000;"Powiat zambrowski";4775,36;
2061000;"Powiat m.Białystok";5126,79;
2062000;"Powiat m.Łomża";4872,37;
2063000;"Powiat m.Suwałki";4562,69;
2201000;"Powiat bytowski";4905,51;
2202000;"Powiat chojnicki";4395,70;
2203000;"Powiat człuchowski";4569,32;
2204000;"Powiat gdański";5014,67;
2205000;"Powiat kartuski";4508,01;
2206000;"Powiat kościerski";4328,66;
2207000;"Powiat kwidzyński";4824,01;
2208000;"Powiat lęborski";4800,59;
2209000;"Powiat malborski";4559,54;
2210000;"Powiat nowodworski";4735,14;
2211000;"Powiat pucki";4741,10;
2212000;"Powiat słupski";4696,62;
2213000;"Powiat starogardzki";4969,91;
2214000;"Powiat tczewski";5031,71;
2215000;"Powiat wejherowski";4620,89;
2216000;"Powiat sztumski";4719,00;
2261000;"Powiat m.Gdańsk";6490,53;
2262000;"Powiat m.Gdynia";5848,66;
2263000;"Powiat m.Słupsk";4841,90;
2264000;"Powiat m.Sopot";6529,10;
2401000;"Powiat będziński";4643,65;
2402000;"Powiat bielski";4819,89;
2403000;"Powiat cieszyński";4660,69;
2404000;"Powiat częstochowski";4603,86;
2405000;"Powiat gliwicki";4696,57;
2406000;"Powiat kłobucki";4087,42;
2407000;"Powiat lubliniecki";4660,07;
2408000;"Powiat mikołowski";5002,48;
2409000;"Powiat myszkowski";4532,46;
2410000;"Powiat pszczyński";4674,30;
2411000;"Powiat raciborski";5199,24;
2412000;"Powiat rybnicki";4686,71;
2413000;"Powiat tarnogórski";4858,37;
2414000;"Powiat bieruńsko-lędziński";4649,07;
2415000;"Powiat wodzisławski";4323,10;
2416000;"Powiat zawierciański";5001,44;
2417000;"Powiat żywiecki";5011,50;
2461000;"Powiat m.Bielsko-Biała";5321,66;
2462000;"Powiat m.Bytom";5117,47;
2463000;"Powiat m.Chorzów";4910,73;
2464000;"Powiat m.Częstochowa";4875,71;
2465000;"Powiat m.Dąbrowa Górnicza";5811,72;
2466000;"Powiat m.Gliwice";6164,02;
2467000;"Powiat m.Jastrzębie-Zdrój";8377,01;
2468000;"Powiat m.Jaworzno";5976,30;
2469000;"Powiat m.Katowice";6525,94;
2470000;"Powiat m.Mysłowice";4763,73;
2471000;"Powiat m.Piekary Śląskie";5375,03;
2472000;"Powiat m.Ruda Śląska";4816,21;
2473000;"Powiat m.Rybnik";4987,77;
2474000;"Powiat m.Siemianowice Śląskie";5005,69;
2475000;"Powiat m.Sosnowiec";5008,83;
2476000;"Powiat m.Świętochłowice";4609,16;
